id field ra dec z lmass uv vj
1387.0 AEGIS 214.84455872 52.74528885 2.5318 10.12 0.6832201892007149 1.100952749444821
1389.0 AEGIS 215.29156494 53.06033707 1.3014 10.04 0.8769717298479545 0.7198016900211508
1397.0 AEGIS 215.07034302 52.90084076 0.4279 10.36 1.5779087041676212 2.0866261866652955
1398.0 AEGIS 215.03338623 52.87792969 1.4139 10.86 1.4717700866208483 1.865945756775207
1400.0 AEGIS 215.2301178 53.01764679 1.3909 9.74 0.8166791331126595 0.5431886990741939
1407.0 AEGIS 215.24662781 53.02705002 0.6364 10.06 1.2965347031748684 1.5395021836116913
1413.0 AEGIS 215.09822083 52.92562485 1.6643 9.71 2.071118133980095 0.470050728307319
1420.0 AEGIS 214.97224426 52.83568954 1.873 11.12 1.7573768411620414 1.653644882538054
1422.0 AEGIS 214.99542236 52.85269928 1.6353 9.71 0.883098836009822 1.0183503628935688
1427.0 AEGIS 214.84510803 52.74571609 2.2148 10.37 0.8939192924803911 0.6739646842884164
1431.0 AEGIS 214.98861694 52.84792709 2.0008 9.43 0.6832475965529782 0.34112207004417483
1442.0 AEGIS 215.24578857 53.02763367 0.6793 10.17 2.015496863882119 1.3661218701637947
1465.0 AEGIS 215.28091431 53.05417633 2.5108 10.03 0.49882857827453414 0.9064756613224796
1472.0 AEGIS 215.07211304 52.90626526 1.6236 9.68 0.531139548465164 0.5012861892252412
1474.0 AEGIS 215.02050781 52.86789322 0.5707 9.96 1.044116587392663 1.1555294422383457
1475.0 AEGIS 215.11227417 52.93354416 0.9375 10.05 1.0216473738991896 0.8970921213076576
1477.0 AEGIS 215.14134216 52.95483017 1.0138 9.64 0.8282070822376966 0.8917677104831427
1488.0 AEGIS 214.91035461 52.79169083 1.2246 10.38 1.7418397728363013 1.2493137940518604
1494.0 AEGIS 215.07417297 52.90875244 1.778 9.52 0.7703800510752035 0.8615502183076412
1504.0 AEGIS 214.99810791 52.85339355 1.1857 10.72 1.660952238875486 1.5704407842379395
1508.0 AEGIS 215.27893066 53.05150604 0.8935 10.17 1.1989389998153923 1.1820610675184806
1509.0 AEGIS 215.02633667 52.87437439 1.6888 9.45 0.6048398542322939 0.36719994890946633
1516.0 AEGIS 215.06262207 52.89990616 1.6562 9.75 0.4887772121708298 0.31208484574725426
1519.0 AEGIS 215.00662231 52.86049271 1.3504 9.77 0.761326757484424 0.545446739286702
1526.0 AEGIS 214.9997406 52.85647964 1.0692 9.63 1.7696224937825051 1.4149277038940988
1541.0 AEGIS 214.8968811 52.78337097 2.3578 9.59 0.45726709020512796 0.7023418945983552
1547.0 AEGIS 215.06370544 52.9006958 1.2205 9.89 0.9433574933359405 0.9032467846090321
1560.0 AEGIS 214.9546051 52.82334137 1.4442 9.98 0.7324159180525541 0.5988299208289223
1579.0 AEGIS 215.10900879 52.93291473 1.4204 9.97 0.799567632167324 0.6453652645554354
1580.0 AEGIS 215.10966492 52.93413162 2.3731 10.34 0.9134787594834465 1.2402195338923279
1591.0 AEGIS 214.99279785 52.850811 1.6823 10.56 1.592911447836158 1.4163359346701496
1592.0 AEGIS 214.86557007 52.76134872 2.1266 9.89 0.6344893494916538 0.41215177341011605
1601.0 AEGIS 215.18133545 52.98368835 1.1977 9.62 0.6559803809287074 0.643815982590742
1606.0 AEGIS 215.09144592 52.92004776 2.4534 11.11 1.0086001268942186 1.1200990457207325
1610.0 AEGIS 215.286026 53.05830002 1.6695 9.52 0.5498813922708851 0.5633756680639933
1616.0 AEGIS 215.04789734 52.8907814 2.1121 9.45 0.8058345741965935 0.1306868402181209
1637.0 AEGIS 215.20213318 52.99932861 1.3346 9.52 0.9568828749653404 1.0774116834219036
1648.0 AEGIS 214.75350952 52.68145752 2.1467 10.28 0.6633930780015038 0.7472885625536579
1652.0 AEGIS 214.99331665 52.85240555 2.2272 9.97 0.8891871075004404 1.0713153811002123
1669.0 AEGIS 215.23623657 53.02296066 1.5335 10.46 1.3982830593619426 1.3339655894457145
1684.0 AEGIS 215.07206726 52.90716171 1.4561 9.92 0.7051413556198167 0.3688985683424318
1687.0 AEGIS 215.16624451 52.97407532 1.8691 9.74 0.6988435680424482 0.2738797621897519
1692.0 AEGIS 215.15467834 52.96652985 1.706 9.47 0.742273354770795 0.11246803467264545
1699.0 AEGIS 215.20249939 52.99940491 1.6014 10.55 1.2274231463794476 1.0578945439330332
1707.0 AEGIS 215.09375 52.92342377 1.1232 9.9 1.4406411345859054 1.4545412509432551
1713.0 AEGIS 215.2829895 53.05620956 2.4341 10.4 0.91930409149356 0.7593229930389983
1723.0 AEGIS 214.99581909 52.85426331 0.9713 9.46 0.6484714148226729 0.4640858769670364
1728.0 AEGIS 215.16760254 52.9756813 2.4024 9.94 0.9358814362548389 0.6480426509396413
1747.0 AEGIS 215.20466614 53.00238037 2.5245 9.88 0.6007407265447666 1.2097966022781477
1763.0 AEGIS 214.79031372 52.70794678 2.3078 10.84 1.3824086947333036 1.9218141835545475
1771.0 AEGIS 214.87002563 52.76435852 1.6079 10.47 0.976396790106864 0.9632659082916017
1772.0 AEGIS 215.16976929 52.97675323 1.187 10.05 1.4360305434532292 1.4189086772208572
